nom,prix,adresse,image
Hamster,15 000 CFA,"Mbao, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3689324_uploaded_image1_1652181532.jpg)
Boeuf,Prix sur demande,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3691179_uploaded_image1_1652274956.jpg)
Perruches ondulées,12 000 CFA,"Guediawaye, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3693176_uploaded_image1_1652374886.jpg)
Oie,65 000 CFA,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3719072_uploaded_image1_1654007070.jpg)
Vache,Prix sur demande,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3734952_uploaded_image1_1654795966.jpg)
Couple cochons d'inde,25 000 CFA,"Sacré-Coeur, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3738425_uploaded_image1_1655026461.jpg)
Sacs de foin - Ngogne,5 000 CFA,"Saint Louis, Sénégal",""
Canard,Prix sur demande,"Diamniadio, Sénégal",""
Paire Oie,130 000 CFA,"Guediawaye, Dakar, Sénégal",""
Oiseaux exotiques,Prix sur demande,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3773129_uploaded_image1_1657027947.jpg)
Veaux,200 000 CFA,"Diamniadio, Sénégal",""
Couple Hamster,45 000 CFA,"Dakar, Sénégal",""
Hamster,15 000 CFA,"Sacré-Coeur, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3780966_uploaded_image1_1657566627.jpg)
Veau,300 000 CFA,"Biscuiterie, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3784229_uploaded_image1_1657796861.jpg)
Cailles,100 CFA,"Keur Massar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3797181_uploaded_image1_1658618385.jpg)
Vache,Prix sur demande,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3798116_uploaded_image1_1658707333.jpg)
Peruche ondulée,10 000 CFA,"Dakar Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3803986_uploaded_image1_1659036881.jpg)
Vache,1 000 000 CFA,"Bambey, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3804681_uploaded_image1_1659094431.jpg)
Hamster dorée,15 000 CFA,"Sacré-Coeur, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3814562_uploaded_image1_1659613355.jpg)
Bœuf,750 000 CFA,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3817866_uploaded_image1_1659784836.jpg)
Bœuf,Prix sur demande,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3819174_uploaded_image1_1659877769.jpg)
Vache,65 000 CFA,"Biscuiterie, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3850590_uploaded_image1_1661716395.jpg)
Cobaye mâle,16 000 CFA,"Thies, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3868453_uploaded_image1_1662603701.jpg)
Œufs,9 000 CFA,"Keur Massar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3862604_uploaded_image1_1662310160.jpg)
Paon,50 000 CFA,"Yoff, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3901686_uploaded_image1_1664658095.jpg)
Cailles,2 500 CFA,"Ziguinchor, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3905361_uploaded_image1_1664880986.jpg)
Chaton Scottish Fold,Prix sur demande,"Fann-Point E-Amitié, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3915043_uploaded_image1_1665477189.jpg)
Paons bleus,400 000 CFA,"Mbour, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3916692_uploaded_image1_1665568760.jpg)
Bœuf,700 000 CFA,"Mbour, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3916720_uploaded_image1_1665569801.jpg)
Anes,500 000 CFA,"Mbour, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3916725_uploaded_image1_1665569939.jpg)
Poissons aquarium,7 500 CFA,"Dakar Plateau, Dakar, Sénégal",""
Dinde,35 000 CFA,"Touba, Sénégal",""
Paon,450 000 CFA,"Touba, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3956247_uploaded_image2_1667916424.jpeg)
Perruches ondulées,12 000 CFA,"Guediawaye, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3968286_uploaded_image1_1668632770.jpg)
Chèvre,50 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3985611_uploaded_image1_1669761997.jpg)
Bœufs,600 000 CFA,"Bambey, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3991901_uploaded_image1_1670076562.jpg)
Bœufs,600 000 CFA,"Bambey, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4001249_uploaded_image1_1670577657.jpg)
Chat persan hymalayen,350 000 CFA,"Ngor, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4002094_uploaded_image1_1670612752.jpg)
Chaton Persan,400 000 CFA,"Fann, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4004300_uploaded_image1_1670782309.jpg)
Perroquets Roseicollis,50 000 CFA,"Point E, Dakar, Sénégal",""
Vache,475 CFA,"Niaga, Sénégal",""
Jument,550 000 CFA,"Thies, Sénégal",""
Cheval,450 000 CFA,"Thies, Sénégal",""
Oies de garde,200 000 CFA,"Mbour, Sénégal",""
Boeuf,Prix sur demande,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4047285_uploaded_image1_1673554118.jpg)
Perruches ondulées,7 000 CFA,"Hann Bel-Air, Dakar, Sénégal",""
Dindons,175 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4056115_uploaded_image1_1674103633.jpg)
Canards,20 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4056116_uploaded_image1_1674103896.jpg)
Dinde,50 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4060300_uploaded_image1_1674362008.jpg)
Oies,Prix sur demande,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4064457_uploaded_image1_1674641302.jpg)
Bœufs,Prix sur demande,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4089255_uploaded_image1_1676026530.jpg)
Bœuf,600 000 CFA,"Bambey, Sénégal",""
Cheval,Prix sur demande,"Ouakam, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4092862_uploaded_image1_1676283623.jpg)
Chaton angora,180 000 CFA,"Fann, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4102298_uploaded_image1_1676900131.jpg)
Chats siamois himalayen,300 000 CFA,"Thies, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4102440_uploaded_image1_1676904996.jpg)
Chèvre sahelienne,180 000 CFA,"Mbour, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4103018_uploaded_image1_1676929679.jpg)
Hamster dorée,15 000 CFA,"Sacré-Coeur, Dakar, Sénégal",""
Oies,35 000 CFA,"Thies, Sénégal",""
Vaches,7 000 000 CFA,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4131629_uploaded_image1_1678668784.jpg)
Chatte persane himalayenne,200 000 CFA,"Dakar, Sénégal",""
Canard colvert,32 500 CFA,"Almadies 2, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4141195_uploaded_image1_1679311407.jpg)
Perroquet,20 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4141464_uploaded_image1_1679320795.jpg)
Bœuf,Prix sur demande,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4150854_uploaded_image1_1679921255.jpg)
Hamster doré,Prix sur demande,"Patte d'oie, Dakar, Sénégal",""
Dindes,100 000 CFA,"Parcelle Assainies, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4169870_uploaded_image1_1681057188.jpg)
Dindes,100 000 CFA,"Parcelle Assainies, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4169875_uploaded_image1_1681057517.jpg)
Dinde,45 000 CFA,"Touba, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4170236_uploaded_image1_1681079402.jpg)
Bœuf,Prix sur demande,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4179472_uploaded_image1_1681680500.jpg)
Chaton siamois,240 000 CFA,"Sacré-Coeur, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4180282_uploaded_image1_1681738114.jpg)
Couple de perruches,14 900 CFA,"Thies, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4180902_uploaded_image1_1681767382.jpg)
Perroquet,35 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4185842_uploaded_image1_1682102205.jpg)
Perruches,30 000 CFA,"Hann Bel-Air, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4194617_uploaded_image1_1682759209.jpg)
Boeuf,600 000 CFA,"Bambey, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4196106_uploaded_image1_1682881461.jpg)
Cailles,7 000 CFA,"Touba, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4208226_uploaded_image1_1683592423.jpg)
Poissons aquarium,15 000 CFA,"Dakar Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4213007_uploaded_image1_1683888858.jpg)
Chaton Siamois Himalayen,275 000 CFA,"Fann, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4215680_uploaded_image1_1684074328.jpg)
Poussins bleus hollandais,1 500 CFA,"Mbao, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4223952_uploaded_image1_1684611180.jpg)
Paon,400 CFA,"Touba, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4226444_uploaded_image1_1684797786.jpg)
Perruche,30 000 CFA,"Point E, Dakar, Sénégal",""
Paon,Prix sur demande,"Yoff, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4250701_uploaded_image1_1686389684.jpg)
Chaton,Prix sur demande,"Ouest Foire, Dakar, Sénégal",""
Poissons aquariums,7 500 CFA,"Dakar Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4258053_uploaded_image1_1686843939.jpg)
Oies,45 000 CFA,"Thies, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4263743_uploaded_image1_1687283716.jpg)
Perruches ondulées,20 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4268218_uploaded_image1_1687536623.jpg)
Chat persan chinchilla golden shaded,500 000 CFA,"Sicap Liberté, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4268857_uploaded_image1_1687596952.jpg)
Chat persan chinchilla blue golden shaded,650 000 CFA,"Sicap Liberté, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4268866_uploaded_image1_1687597344.jpg)
Chatons persans chinchilla golden shaded,500 000 CFA,"Sicap Liberté, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4268926_uploaded_image1_1687601650.jpg)
Autruche,40 000 CFA,"Bambey, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4274068_uploaded_image1_1688027259.jpg)
Paon,290 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4277277_uploaded_image1_1688258720.jpg)
Canard,30 000 CFA,"Guediawaye, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4251761_uploaded_image1_1686479149.jpg)
Vache,Prix sur demande,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4284952_uploaded_image1_1688734268.jpg)
Chat tigré,60 000 CFA,"Rufisque, Sénégal",""
Chat tigré,60 000 CFA,"Rufisque, Sénégal",""
Poussins d'autruche,50 000 CFA,"Bambey, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4292496_uploaded_image1_1689236421.jpg)
Vache,600 000 CFA,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4303521_uploaded_image1_1689962163.jpg)
Bœuf,Prix sur demande,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4303523_uploaded_image1_1689962222.jpg)
Chat Scottish fold,700 000 CFA,"Dakar, Sénégal",""
Cailles de chair,500 CFA,"Colobane, Dakar, Sénégal",""
Chatons  British shorthair,650 000 CFA,"Dakar Plateau, Dakar, Sénégal",""
Perroquets,60 000 CFA,"Point E, Dakar, Sénégal",""
Perruches ondulées,20 000 CFA,"Point E, Dakar, Sénégal",""
Chaton Gimalayen Siamois,250 000 CFA,"Fann, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4333502_uploaded_image1_1691932427.jpg)
Taureau,320 000 CFA,"Rufisque, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4335558_uploaded_image1_1692061499.jpg)
Chaton,Prix sur demande,"Ouest Foire, Dakar, Sénégal",""
Bœuf,450 000 CFA,"Dakar, Sénégal",""
Dinde rouge pair,35 000 CFA,"Dakar, Sénégal",""
Chat Persan,650 000 CFA,"Point E, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4386249_uploaded_image1_1695340690.jpg)
Chèvre,80 000 CFA,"Thies, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4387674_uploaded_image1_1695430824.jpg)
Veaux,450 000 CFA,"Pikine, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4407653_uploaded_image1_1696730126.jpg)
Pintades,40 000 CFA,"Guediawaye, Dakar, Sénégal",""
Dindes,30 000 CFA,"Guediawaye, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4408804_uploaded_image1_1696809535.jpg)
Oies de Toulouse,Prix sur demande,"Thies, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4409000_uploaded_image1_1696840958.jpg)
Perroquet,50 000 CFA,"Point E, Dakar, Sénégal",""
Pintade,7 000 CFA,"Keur Massar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4412768_uploaded_image1_1697036744.jpg)
Paon,65 000 CFA,"Yoff, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4435457_uploaded_image1_1698661056.jpg)
Canards,Prix sur demande,"Thies, Sénégal",""
Paon,250 000 CFA,"Dakar, Sénégal",""
Perruche ondulée,7 000 CFA,"Thies, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4452994_uploaded_image1_1699659802.jpg)
Cailles,1 500 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4454743_uploaded_image1_1699793813.jpg)
Perruches ondulées,15 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4456156_uploaded_image1_1699884359.jpg)
Perruche Anglaise,40 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4456172_uploaded_image1_1699885668.jpg)
Brittish Shorthair,800 000 CFA,"Dakar Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4462219_uploaded_image1_1700244596.jpg)
Pintade,75 000 CFA,"Guediawaye, Dakar, Sénégal",""
Cochons,20 000 CFA,"Keur Massar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4503058_uploaded_image1_1702806558.jpg)
Cochons,20 000 CFA,"Keur Massar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4503064_uploaded_image1_1702806770.jpg)
Vaches,1 500 000 CFA,"Dakar, Sénégal",""
Couple dinde,40 000 CFA,"Kolda, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4506000_uploaded_image1_1702997150.jpg)
Chatons Serval,1 500 000 CFA,"Saint Louis, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4517799_uploaded_image1_1703777941.jpg)
Poissons aquarium,7 000 CFA,"Dakar Plateau, Dakar, Sénégal",""
Bœuf,Prix sur demande,"Diamalaye 2, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4534540_uploaded_image1_1704746080.jpg)
Chaton Persan,400 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4540876_uploaded_image1_1705028116.jpg)
Chaton Scotish Fold,750 000 CFA,"Fann, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4540889_uploaded_image1_1705029103.jpg)
Cochons d'inde,20 000 CFA,"Keur Massar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4555313_uploaded_image1_1705776199.jpg)
Boeuf,600 000 CFA,"Mbao, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4568012_uploaded_image1_1706543950.jpg)
Chaton Persan,400 000 CFA,"Dakar Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4569529_uploaded_image1_1706630955.jpg)
Perroquet youyou,10 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4570755_uploaded_image2_1706701706.jpeg)
Chaton Scottish Fold,750 000 CFA,"Dakar Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4571582_uploaded_image1_1706729320.jpg)
Chaton Persan,400 000 CFA,"Dakar Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4592914_uploaded_image1_1707885493.jpg)
Chaton Siamois Hymalayen,240 000 CFA,"Dakar Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4593854_uploaded_image1_1707927839.jpg)
Chaton,Prix sur demande,"Ngor, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4608863_uploaded_image1_1708712110.jpg)
Poussins de canards,3 000 CFA,"Guediawaye, Dakar, Sénégal",""
Chat Persan Chinchilla,400 000 CFA,"Dakar Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4623023_uploaded_image1_1709471973.jpg)
Chat Brittish Shorthair,700 000 CFA,"Dakar Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4629619_uploaded_image1_1709768692.jpg)
Chaton Hymalayen Persan,270 000 CFA,"Dakar Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4639205_uploaded_image1_1710275204.jpg)
Cage avec 3  oiseaux,60 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4640165_uploaded_image1_1710330525.jpg)
Chaton Himalayen,270 000 CFA,"Dakar Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4642742_uploaded_image1_1710476161.jpg)
Chatons,Prix sur demande,"Point E, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4646165_uploaded_image1_1710686670.jpg)
Canard Colvert,25 000 CFA,"Mariste, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4650420_uploaded_image1_1710887873.jpg)
Couple perroquet  Roseicollis,60 000 CFA,"Point E, Dakar, Sénégal",""
Chatons,Prix sur demande,"Mariste, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4651939_uploaded_image1_1710967508.jpg)
Vache brune,Prix sur demande,"Mbour, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4664799_uploaded_image1_1711657831.jpg)
Paire de perruches ondulées,40 000 CFA,"Mamelles, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4679396_uploaded_image1_1712411459.jpg)
Bœufs,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4679890_uploaded_image1_1712437211.jpg)
Chaton,Prix sur demande,"Ngor, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4689687_uploaded_image1_1713000926.jpg)
Perruche,20 000 CFA,"Mamelles, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4701230_uploaded_image1_1713565518.jpg)
Cailles,Prix sur demande,"Touba, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4701407_uploaded_image1_1713575328.jpg)
Hamster,5 000 CFA,"Almadies, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4723216_uploaded_image1_1714726904.jpg)
Chat Siamois,300 000 CFA,"Almadies, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4723220_uploaded_image1_1714727016.jpg)
Perroquet inséparable,60 000 CFA,"Point E, Dakar, Sénégal",""
Paon bleu,250 000 CFA,"Rufisque, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4686441_uploaded_image1_1712838619.jpg)
3 chatons,Prix sur demande,"Mariste, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4751663_uploaded_image1_1716126912.jpg)
Boeuf,800 000 CFA,"Kaolack, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4752043_uploaded_image1_1716145974.jpg)
Vache  Montbéliard Holstein,Prix sur demande,"Pikine, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4753933_uploaded_image1_1716257630.jpg)
Vache Montbéliard et Holstein,Prix sur demande,"Rufisque, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4753935_uploaded_image1_1716257776.jpg)
Vaches Montbéliarde,Prix sur demande,"Pikine, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4753936_uploaded_image1_1716257870.jpg)
Chaton Scottish,450 000 CFA,"Dakar Plateau, Dakar, Sénégal",""
Vache laitière Montbéliarde,Prix sur demande,"Guediawaye, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4765247_uploaded_image1_1716841792.jpg)
Chaton Angora,350 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4765270_uploaded_image1_1716842569.jpg)
Chat persan,400 000 CFA,"Dakar Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4785131_uploaded_image1_1717786702.jpg)
Poussin Cochin disponible,17 500 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4794466_uploaded_image1_1718301585.jpg)
Cochin Fauve,17 500 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4794473_uploaded_image1_1718301841.jpg)
Poussin dinde rouge,15 000 CFA,"Dakar, Sénégal",""
Chat scotish,750 000 CFA,"Dakar Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4803206_uploaded_image1_1718912151.jpg)
Paon,140 000 CFA,"Yoff, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4804686_uploaded_image1_1718999173.jpg)
Foin,4 600 CFA,"Keur Massar, Sénégal",""
Scottish fold et scottish straight de race pure,700 000 CFA,"Dakar Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4808971_uploaded_image1_1719267956.jpg)
Chatons Persan pure race,450 000 CFA,"Dakar Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4808981_uploaded_image1_1719268557.jpg)
Persan pure race,500 000 CFA,"Dakar Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4818301_uploaded_image1_1719774491.jpg)
Perruches ondulées blanches,20 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4846024_uploaded_image1_1721146605.jpg)
Perruche ondulée,30 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4846053_uploaded_image1_1721147434.jpg)
Perruche ondulée,15 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4846061_uploaded_image1_1721147785.jpg)
Vache montbéliardes,2 000 000 CFA,"Pikine, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4851931_uploaded_image2_1721447498.jpeg)
Bœufs race Goudali,Prix sur demande,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4853741_uploaded_image1_1721569594.jpg)
Siamois,200 000 CFA,"Yoff, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4855435_uploaded_image1_1721662817.jpg)
Chaton hiamalayen,200 000 CFA,"Dakar Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4864117_uploaded_image1_1722115248.jpg)
Vache,350 000 CFA,"Gassane, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4864739_uploaded_image1_1722168896.jpg)
Boeuf,550 CFA,"Matam, Sénégal",""
vache,Prix sur demande,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4878570_uploaded_image1_1722874635.jpg)
Œufs de caille,3 000 CFA,"Thies, Sénégal",""
Œufs de caille,3 000 CFA,"Thies, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4880858_uploaded_image1_1722971406.jpg)
Autruche,750 000 CFA,"Almadies 2, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4885138_uploaded_image1_1723173640.jpg)
Chatons persans chinchillas purs,550 000 CFA,"Sicap Liberté, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4888897_uploaded_image1_1723397770.jpg)
Bœufs,Prix sur demande,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4895608_uploaded_image1_1723716978.jpg)
Poisson Aquarium,8 500 CFA,"Dakar Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4898597_uploaded_image1_1723887709.jpg)
Perroquets,50 000 CFA,"Point E, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4903200_uploaded_image1_1724163057.jpg)
Dinde rouge Ardenne,Prix sur demande,"Guediawaye, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4917420_uploaded_image1_1724966404.jpg)
Poussins de canard,2 500 CFA,"Guediawaye, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4917429_uploaded_image1_1724966703.jpg)
Chatons,Prix sur demande,"Mariste, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4922546_uploaded_image1_1725269043.jpg)
Chat,350 000 CFA,"Grand Dakar, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_4928423_uploaded_image1_1725508257.jpg)
